frame	complex	receptor	ligand	dG
338	-22895.77615344	-5946.444305919999	-16864.0110832	-85.32076432000395
339	-22845.797187599997	-5973.22713456	-16786.91853448	-85.65151856000011
340	-22887.335966799998	-5913.19786744	-16897.4094808	-76.72861855999508
341	-22818.22253072	-5929.141490960001	-16811.49040232	-77.59063744000014
342	-22818.6117544	-5926.685019920001	-16805.06231784	-86.86441664000085
343	-22896.034681679997	-5960.8560775999995	-16847.623872	-87.55473207999967
344	-22849.91973416	-5941.9568716799995	-16829.09374024	-78.86912224000116
345	-22817.270928240003	-5924.42973504	-16807.67282064	-85.16837256000144
346	-22864.49647072	-5936.89432248	-16852.03523656	-75.5669116800018
347	-22865.31403816	-5943.08186696	-16842.654997120004	-79.57717407999371
348	-22943.5670224	-5943.56874712	-16917.3412308	-82.65704447999815
349	-22966.43098448	-5930.638744	-16957.26987728	-78.52236320000156
350	-22838.685868	-5929.1552772800005	-16831.43847984	-78.09211088000302
351	-22853.857910000002	-5934.878111440001	-16832.316703999997	-86.66309456000454
352	-22860.58936048	-5934.3630816800005	-16842.72525184	-83.50102696000249
353	-22876.62068656	-5945.418326880001	-16857.15118688	-74.05117279999831
354	-22870.443629759997	-5938.10144896	-16844.41453872	-87.9276420799979
355	-22859.25583928	-5947.10946368	-16823.718876720002	-88.42749887999526
356	-22868.786490559996	-5931.917896159999	-16857.6944324	-79.1741619999957
357	-22848.7642388	-5931.44965368	-16833.3974124	-83.91717271999732
358	-22864.7238912	-5918.2123898400005	-16862.30090008	-84.21060127999954
359	-22893.108372480005	-5919.6134976	-16895.68556704	-77.8093078400052
360	-22893.096116400004	-5934.285771520001	-16882.569620799997	-76.24072408000575
361	-22874.83284304	-5948.17180416	-16846.1384708	-80.52256807999947
362	-22926.28873216	-5948.84663792	-16894.97561968	-82.46647455999846
363	-22917.300174559998	-5904.675093600001	-16927.74922864	-84.87585231999401
364	-22857.408388480002	-5935.7961069600005	-16842.091452880002	-79.52082863999749
365	-22938.23251232	-5971.63339328	-16884.2546048	-82.3445142399978
366	-22905.30645584	-5955.76546576	-16868.91476696	-80.62622312000167
367	-22885.18008128	-5941.970269119999	-16856.27439632	-86.93541583999831
368	-22913.23300736	-5920.57802704	-16909.45179944	-83.2031808799984
369	-22874.52108168	-5954.44835984	-16838.552277680003	-81.52044415999626
370	-22871.078021439997	-5983.24935696	-16798.76908184	-89.05958263999491
371	-22922.728108	-5955.87193584	-16888.168979839997	-78.68719232000149
372	-22866.534299119998	-5960.3410791999995	-16825.97532488	-80.21789503999753
373	-22860.776110319995	-5923.01786928	-16852.96851392	-84.7897271199945
374	-22897.579394399996	-5940.41693072	-16878.47489064	-78.68757303999882
375	-22948.697543839997	-5949.96416104	-16914.92165608	-83.81172671999593
376	-22891.92622528	-5950.41360984	-16859.14204752	-82.3705679199993
377	-22884.333798480002	-5974.31272936	-16834.883729359997	-75.13733976000367
378	-22936.884894	-5949.7207408799995	-16900.026057360003	-87.13809575999767
379	-22841.161238639997	-5937.518749759999	-16828.16544136	-75.47704751999845
380	-22896.570032880005	-5954.74003032	-16850.41287248	-91.41713008000443
381	-22941.538531199996	-5962.57928056	-16893.30368464	-85.65556599999763
382	-22863.91328944	-5932.147865680001	-16846.30309552	-85.4623282399989
383	-22892.0418576	-5968.456950080001	-16845.022317760002	-78.56258976000026
384	-22900.502181280004	-5973.53424928	-16841.766542400004	-85.20138959999895
385	-22905.8009036	-5960.90794192	-16859.9272488	-84.96571288000268
