frame	complex	receptor	ligand	dG
111	-22845.47614424	-5951.72429304	-16807.55778464	-86.19406656000137
112	-22818.777234880003	-5931.33986656	-16802.64182408	-84.79554424000162
113	-22830.09677976	-5923.8132743999995	-16831.19326072	-75.09024463999958
114	-22808.84296544	-5921.649345680001	-16809.29853256	-77.89508719999867
115	-22943.329974480002	-5951.4317624	-16915.4703492	-76.42786288000207
116	-22790.54242472	-5929.5493996	-16783.18669216	-77.80633295999723
117	-22857.680427760002	-5978.03103288	-16810.7496952	-68.8996996800015
118	-22832.54090128	-5954.36821256	-16803.59286496	-74.57982376000291
119	-22795.370271599997	-5917.26306624	-16801.15522424	-76.95198111999707
120	-22879.97193888	-5942.899160479999	-16867.35827112	-69.71450728000127
121	-22851.700741200002	-5940.5115452	-16835.56840608	-75.6207899200017
122	-22835.372794	-5972.68280368	-16791.717359039998	-70.97263128000122
123	-22832.663412319995	-5971.817622480001	-16782.5365884	-78.30920143999538
124	-22912.411173120003	-5932.1148976800005	-16906.96890392	-73.32737152000482
125	-22895.867609439996	-5961.698246	-16860.361039040003	-73.80832439999358
126	-22912.373747280002	-5969.4869637599995	-16867.36419704	-75.52258648000497
127	-22824.960047119996	-5931.30846992	-16812.119363119997	-81.53221407999808
128	-22777.24864216	-5920.451458320001	-16789.35038712	-67.44679671999984
129	-22900.880285280004	-5948.68525736	-16864.36261904	-87.83240888000364
130	-22833.286883440003	-5960.823008	-16793.418631200002	-79.04524424000192
131	-22800.32089272	-5937.823396480001	-16776.5022636	-85.995232639998
132	-22832.526271680003	-5944.46645952	-16798.98276832	-89.07704384000317
133	-22850.447319600004	-5966.7155105599995	-16796.77538856	-86.95642048000445
134	-22792.408592960004	-5939.74642928	-16766.69869392	-85.96346976000495
135	-22734.855107119998	-5922.16347256	-16721.05947488	-91.63215967999713
136	-22818.82003624	-5923.051827039999	-16815.04247272	-80.72573647999889
137	-22713.961356000003	-5916.4558583200005	-16705.9771212	-91.52837648000059
138	-22822.813180399997	-5923.23933608	-16815.78757216	-83.78627215999586
139	-22870.03365288	-5939.45089424	-16858.820900240004	-71.76185839999744
140	-22745.0518284	-5955.7820324799995	-16713.882434400002	-75.3873615199991
141	-22786.24514344	-5935.42632624	-16770.083625760002	-80.73519143999874
142	-22872.86973328	-5987.22569056	-16811.89679616	-73.74724656000035
143	-22803.932694320003	-5954.22954384	-16767.35551648	-82.3476340000052
144	-22862.741645839997	-5953.77401528	-16819.02001968	-89.94761087999723
145	-22789.377075200002	-5946.8423896	-16756.885362959998	-85.64932264000527
146	-22814.9066452	-5969.61360304	-16768.448637280002	-76.84440487999746
147	-22831.74391272	-5957.74265304	-16780.354963759997	-93.64629592000347
148	-22769.11163184	-5949.94596736	-16740.19485872	-78.97080576000371
149	-22748.42023864	-5931.97144552	-16729.42369984	-87.02509327999724
150	-22792.21130416	-5947.88985416	-16767.35650032	-76.96494968000115
151	-22836.083391120002	-5963.5015824	-16787.9269364	-84.65487232000305
152	-22858.03128256	-5936.87013456	-16848.850896	-72.31025199999931
153	-22909.27722352	-5970.90303432	-16846.845338479998	-91.52885072000208
154	-22889.10159024	-5961.48961176	-16839.146188240004	-88.46579023999584
155	-22799.23707624	-5929.0442144	-16787.9825248	-82.21033703999638
156	-22755.70890608	-5948.516186960001	-16717.16448792	-90.02823119999812
157	-22735.71299576	-5916.904579439999	-16738.10188064	-80.70653568000489
158	-22846.6920484	-5962.92161296	-16809.89102	-73.87941544000205
159	-22823.450167119998	-5970.30938824	-16778.913272640002	-74.22750623999673
160	-22815.893610720002	-5978.79418088	-16774.13460456	-62.964825280003424
161	-22888.283507199998	-5970.60699048	-16843.813402320004	-73.86311439999554
162	-22780.72400456	-5926.56106408	-16786.01393384	-68.14900664000015
163	-22860.639622799998	-5980.52701088	-16798.319557119998	-81.79305480000039
164	-22814.330729039997	-5970.8105114400005	-16776.249592639997	-67.2706249599978
165	-22861.57638144	-5989.409810239999	-16805.830503920002	-66.33606728000086
166	-22824.69627024	-5930.83309976	-16819.13685208	-74.72631840000395
167	-22835.05432096	-5972.21302232	-16804.42218224	-58.41911640000035
